Year,Genre encoded,Votes encoded,Director encoded,Actor 1 encoded,Actor 2 encoded,Actor 3 encoded,Predicted_Rating
1977,5.9,5.6,5.2,5.7,6.3,6.2,5.847358
1963,6.2,6.0,6.8,5.9,6.6,6.4,6.813199
1950,6.0,5.8,5.9,6.1,5.9,6.0,5.7848577
1971,5.9,5.9,6.3,6.0,5.6,6.3,6.240613
1970,6.0,5.8,5.9,6.1,5.3,6.0,5.7563186
1988,6.0,5.8,6.2,6.2,5.8,5.8,5.8759084
1934,6.0,5.8,5.8,5.8,5.9,5.9,5.793161
1968,5.6,5.7,5.7,6.4,5.6,4.4,4.7282577
2014,4.8,5.2,5.6,5.4,5.9,4.5,4.967692
1979,5.8,6.0,4.8,5.7,6.0,5.1,5.402764
1976,5.7,5.7,6.4,6.3,6.2,6.4,6.6251183
2008,6.1,4.9,5.4,5.5,6.0,5.5,5.0477853
1981,6.0,5.4,6.6,5.0,5.3,5.3,5.3407917
1963,5.9,5.8,6.2,6.0,6.1,6.6,6.184254
1980,5.5,5.7,6.4,5.9,6.1,6.0,6.1943846
2012,5.6,3.9,6.2,5.6,5.2,3.9,3.5012195
2009,5.7,7.3,6.4,6.4,5.3,5.9,7.0575614
1986,6.0,6.0,5.3,5.3,5.5,5.6,5.408079
1933,6.0,5.8,6.1,6.1,6.2,6.0,5.9326696
1953,6.0,5.8,5.9,6.0,5.9,5.9,5.7826366
2005,6.0,5.2,7.0,5.2,6.3,7.2,6.5926337
1943,6.0,5.8,5.9,5.8,5.9,5.8,5.79503
2016,5.7,5.8,5.8,5.8,5.8,6.0,5.7968054
1958,6.0,5.8,5.8,5.8,5.9,5.9,5.7797585
1990,5.9,5.4,3.0,3.0,3.6,4.9,2.7640512
1969,5.5,5.8,5.8,6.0,5.9,5.9,5.7542853
2019,6.0,5.8,5.8,6.0,5.8,6.9,5.9019265
2001,5.1,4.4,2.8,5.7,6.3,5.7,3.4882903
1994,6.0,6.0,6.0,6.4,6.5,6.4,6.53826
2014,5.3,4.2,4.2,4.8,5.0,4.2,4.009416
2020,6.2,6.0,6.1,6.3,6.1,6.3,6.2925863
1992,6.0,5.8,5.8,5.4,5.8,5.8,5.7987227
2020,6.0,5.8,5.8,5.8,5.8,5.8,5.79484
2008,6.2,4.1,6.2,5.3,5.3,3.9,3.5446255
1972,5.7,5.8,6.1,6.2,6.1,5.8,5.9329486
2002,6.0,4.3,5.6,2.9,5.1,4.4,3.4973347
1997,6.0,6.2,5.8,5.7,6.0,5.7,6.051073
2000,5.6,5.8,5.8,5.8,5.7,5.8,5.8203807
1932,6.0,5.8,5.8,5.8,5.8,5.9,5.790787
1985,5.5,5.7,5.7,5.5,4.8,5.6,5.066652
2021,6.0,5.8,5.8,5.8,5.8,5.8,5.79484
1962,5.7,6.0,5.7,6.0,6.4,6.3,6.2400274
1966,6.0,5.8,5.8,5.8,5.8,6.0,5.7783055
1969,5.6,5.8,5.9,6.9,6.9,6.2,6.504198
1999,5.6,5.8,5.8,5.8,5.5,5.8,5.837375
2013,6.7,8.2,6.4,6.3,5.5,7.1,7.9022336
2005,6.0,5.8,5.8,5.4,6.2,5.5,5.778775
2013,5.7,5.9,6.6,5.8,6.6,5.4,6.2587194
1951,6.0,5.8,5.7,6.5,6.0,5.9,5.8930063
1988,5.6,5.8,6.6,6.6,6.3,5.9,6.3819613
1992,5.3,3.6,5.7,5.7,5.3,4.4,3.4831789
2001,5.5,4.3,4.9,5.0,5.5,5.3,4.283725
1946,6.5,5.8,6.0,5.9,6.2,5.0,5.9513187
2018,5.7,4.6,4.8,5.4,5.7,5.4,4.949757
2011,5.6,5.8,7.2,5.0,5.5,5.8,6.103462
1998,5.7,5.8,5.8,6.0,6.0,5.8,5.81766
1994,5.6,5.7,6.1,5.9,5.7,6.2,5.9586973
1950,5.8,5.8,5.8,5.8,5.6,5.8,5.7908435
2010,5.7,5.3,5.4,5.4,5.1,5.2,4.8548245
1934,6.1,5.8,6.0,5.8,5.8,5.8,5.7753644
1957,5.7,5.8,5.9,6.0,6.4,6.2,5.906274
1945,6.0,5.8,5.8,5.8,5.8,5.8,5.784047
2016,5.7,5.8,4.2,5.8,5.8,5.4,5.6269255
1946,6.0,5.8,5.8,5.9,5.9,5.9,5.7880454
2019,5.7,5.8,5.8,5.8,5.8,6.2,5.7910104
2019,5.8,5.8,5.8,5.8,6.4,5.8,5.790387
2007,6.0,4.8,4.8,5.3,4.8,5.3,4.5201583
2004,6.1,5.8,6.2,6.1,5.6,5.8,5.87816
2020,6.0,5.4,6.1,6.1,6.8,6.4,6.4009886
1959,6.0,5.8,5.8,5.8,6.0,5.8,5.7973824
2006,5.3,7.2,5.4,6.9,6.3,5.5,7.2459254
1977,5.4,5.7,5.4,5.7,6.0,5.8,5.3969574
1955,6.1,7.9,7.3,6.6,7.4,6.4,8.077574
1968,6.0,5.8,5.8,6.0,5.9,5.9,5.7798443
1976,5.7,5.7,5.6,6.3,6.3,5.8,5.9457893
2010,6.4,5.8,5.8,6.0,5.9,5.9,5.8069534
1990,5.7,5.8,5.8,5.8,5.8,5.9,5.774953
1977,6.1,6.4,6.9,6.4,6.3,6.2,7.152051
2001,5.6,5.6,3.8,5.3,3.8,5.9,3.7556484
1971,6.1,5.4,7.0,6.8,6.6,6.2,6.9531927
1960,6.0,5.6,5.7,5.8,5.8,5.8,5.6611257
2019,6.7,5.8,5.8,6.1,5.8,5.8,5.9221926
1975,5.6,5.8,5.9,5.9,5.8,6.4,5.8280473
1945,6.0,5.8,5.8,5.8,5.9,5.9,5.7825456
2006,6.7,3.5,4.1,5.5,4.8,4.3,3.6905787
1996,5.9,5.8,4.2,4.2,4.2,4.2,4.0558963
1949,6.0,5.6,8.9,6.8,6.0,6.1,8.6744995
1994,5.5,6.5,6.2,6.3,6.3,6.2,6.723209
1960,5.8,5.7,6.4,6.4,5.8,6.5,6.386842
1947,6.0,5.8,5.8,5.9,5.9,5.9,5.7845483
1979,6.0,5.8,5.7,5.8,5.8,6.2,5.805169
2002,5.3,5.8,5.8,5.8,5.8,5.8,5.8152814
1982,5.9,6.4,5.4,5.6,6.5,5.7,6.113359
2001,5.9,4.4,6.4,6.3,5.8,5.8,5.4444795
1990,5.7,5.8,6.0,5.4,6.0,5.7,5.7377367
1959,6.0,5.8,6.4,5.8,5.8,6.8,6.124324
1982,5.6,5.7,5.9,6.1,6.2,5.9,5.9775233
2020,6.0,5.8,5.8,6.1,5.2,5.8,5.8586416
1944,5.9,5.7,6.2,6.1,6.2,6.4,6.2442946
1977,5.6,5.8,5.8,5.4,5.6,5.1,5.525535
2003,5.9,4.8,4.8,6.2,6.2,6.0,5.286977
2015,6.0,5.6,5.1,6.7,6.7,6.7,6.247462
1977,5.7,5.8,5.8,5.7,6.3,5.8,5.8322406
2020,5.7,5.8,5.8,5.8,5.8,5.8,5.796472
2003,5.8,5.3,4.6,6.5,4.6,5.0,4.88651
2015,5.5,5.7,5.8,5.8,5.8,5.8,5.766114
2005,6.0,5.8,5.8,5.2,5.7,5.8,5.776313
1982,6.1,7.0,7.1,6.0,6.1,6.0,7.08452
2015,6.0,6.3,7.5,7.5,7.5,7.5,7.4296703
1955,6.1,5.8,7.1,5.8,5.8,5.8,6.018615
2009,5.8,5.7,6.4,6.7,6.3,5.8,6.3342004
1988,5.9,5.7,7.0,6.1,5.6,6.0,6.4075203
1949,6.0,5.8,5.8,6.0,5.9,5.9,5.7826366
2017,5.9,6.2,5.8,4.9,5.8,5.8,5.7879443
1954,6.0,5.8,5.8,5.9,5.9,5.7,5.769698
2011,5.8,5.8,5.8,6.0,5.9,5.9,5.7943273
1962,5.7,5.8,5.8,5.9,5.8,5.8,5.7816477
1988,5.3,4.2,5.2,5.3,5.6,4.9,4.5689273
2010,5.7,4.2,5.2,4.9,4.9,4.2,4.0767775
2013,5.8,4.6,5.1,5.6,4.3,5.1,4.358247
1944,6.0,5.8,5.8,6.0,5.9,5.9,5.780634
1988,6.0,5.8,5.1,5.6,5.8,4.7,5.2005963
1948,5.6,5.8,5.8,5.4,5.8,5.8,5.711208
1954,5.7,5.6,6.4,6.0,5.4,5.8,5.6389933
2013,6.0,5.8,6.4,5.4,6.2,5.9,5.980355
1998,6.2,6.2,5.0,5.4,5.5,4.4,5.2985415
2015,5.9,5.8,5.8,6.0,5.9,5.9,5.792241
2007,5.3,6.1,5.0,4.2,5.8,3.8,4.040938
1947,6.0,5.8,6.6,6.5,6.1,6.4,6.37395
1993,6.0,5.8,5.8,5.8,5.9,5.9,5.810171
2009,6.0,5.8,5.8,5.8,5.5,5.4,5.832147
1979,5.8,6.3,6.6,6.3,6.5,6.0,6.747725
1974,6.0,5.8,5.7,5.8,6.2,6.3,5.9018507
1991,6.0,5.9,4.8,4.8,5.7,5.9,5.1398797
2019,6.2,5.8,5.8,5.8,5.8,5.8,5.791124
1990,6.0,5.7,5.8,5.7,6.2,5.5,5.5896683
2013,6.0,4.9,5.6,6.0,6.2,6.2,5.703834
1981,5.5,5.5,5.7,5.3,5.7,5.4,5.1288624
2016,6.0,5.8,5.8,5.8,5.8,5.8,5.7960687
2001,5.5,5.4,2.9,3.3,3.7,3.3,3.0484955
1961,5.5,6.1,6.5,6.4,6.3,6.1,6.665761
1948,6.0,5.8,5.8,6.1,5.9,5.8,5.7814116
1993,6.0,5.8,6.6,5.3,5.9,6.2,6.070797
2001,6.2,5.4,5.8,5.8,5.3,6.1,5.523424
1922,6.3,5.8,5.8,5.8,5.9,5.9,5.781398
1958,5.8,5.8,5.4,6.3,5.3,4.5,5.1023407
2008,6.0,5.8,5.8,5.9,5.3,6.1,5.748853
1992,5.7,5.8,5.8,5.0,5.7,5.6,5.8079658
1964,6.0,5.8,6.2,5.8,5.8,5.8,5.770445
1988,6.0,5.8,5.8,5.6,5.8,5.8,5.778378
1979,6.0,5.7,5.6,6.0,5.9,5.9,5.74686
1995,5.6,5.8,5.6,6.3,5.2,4.7,5.306363
2019,6.1,5.8,6.0,6.2,5.5,5.8,5.809016
2015,5.8,5.8,6.2,6.2,5.9,5.9,5.866327
1981,5.2,6.2,6.9,6.4,6.4,6.1,6.926916
2019,5.9,5.8,6.9,6.0,5.9,5.9,6.172202
1987,6.0,5.4,6.9,6.9,6.9,6.9,7.1968837
2019,5.6,5.8,6.4,6.4,5.8,5.8,5.84321
1995,5.5,6.4,5.7,5.3,5.1,5.4,5.475979
2019,5.8,5.8,5.7,5.8,6.1,5.8,5.794565
1988,6.0,5.8,5.8,5.5,5.8,5.8,5.771585
1997,5.5,5.5,5.8,5.2,5.8,5.3,5.154875
1991,5.7,5.7,6.1,6.0,6.4,5.2,5.574883
1997,5.6,5.9,4.4,5.3,5.7,5.1,5.161021
2001,5.9,5.8,5.8,4.4,5.7,3.0,4.1057234
1959,6.7,5.7,5.8,6.7,6.3,6.1,6.486355
1982,5.9,6.8,7.0,6.2,7.4,6.3,7.3293633
1988,5.5,5.8,5.5,5.5,5.5,5.4,5.4067245
1959,6.2,5.6,6.0,6.3,6.5,6.3,6.5061307
1993,5.7,7.4,5.4,6.9,5.7,5.2,7.325004
1989,5.4,6.1,5.8,4.9,6.4,6.1,5.8860445
1975,5.7,5.8,5.8,6.0,5.9,5.9,5.7874746
1984,6.0,6.2,5.4,5.3,5.9,6.0,5.8683968
2005,6.0,6.8,6.4,5.9,5.5,6.7,6.7757945
2017,6.0,5.9,6.4,6.5,7.0,7.0,6.8308005
1995,5.6,5.8,5.8,5.8,5.8,5.8,5.804658
1971,6.1,6.4,6.4,6.4,6.9,6.1,7.0470667
1972,5.7,5.8,5.2,5.6,5.8,5.9,5.6315975
2013,6.0,5.6,4.5,4.5,5.8,4.5,4.610332
1957,5.7,5.9,5.8,6.0,6.5,6.8,6.4262676
2017,6.0,6.3,5.9,5.9,5.9,6.1,6.0425835
1989,6.0,5.8,5.8,6.3,5.9,5.9,5.8055296
2012,6.0,5.2,6.4,6.7,6.9,6.9,6.789014
1978,5.7,5.8,5.9,6.0,5.9,5.9,5.7948117
1997,5.5,5.9,5.2,5.3,4.8,5.1,5.0309963
1997,5.3,5.3,5.5,5.5,6.3,4.6,4.7485375
1992,6.0,5.4,7.9,6.3,5.6,6.9,7.7281117
1954,5.8,6.1,5.9,6.0,6.0,5.7,6.1565356
1979,4.8,5.7,4.8,5.5,5.7,5.3,4.7905645
2019,6.0,5.8,5.7,6.0,5.9,5.9,5.7886477
1942,6.0,5.8,5.8,6.0,5.9,5.9,5.7899995
2018,6.0,5.8,5.8,5.8,5.8,5.9,5.793188
2015,5.7,6.2,6.3,6.8,6.3,5.5,6.403827
2002,5.9,6.5,4.8,6.3,6.1,6.4,6.316915
1952,6.0,5.8,5.8,6.0,5.9,5.8,5.7811756
1956,6.5,5.8,6.1,6.6,6.5,6.4,6.474709
1963,6.0,5.8,6.1,6.1,6.4,6.0,5.9320407
2002,5.8,5.8,4.9,5.0,5.1,5.5,5.1679153
2020,5.0,3.4,3.4,6.7,4.6,3.4,3.0477047
2019,5.8,5.7,6.8,6.8,6.8,5.7,6.6624923
1950,6.0,5.8,5.8,5.8,5.8,5.9,5.7821746
2013,5.6,6.8,6.4,5.4,5.8,6.3,6.5230336
1960,6.0,5.8,6.7,5.6,5.8,6.5,6.0656037
1971,6.4,6.2,7.1,5.7,6.6,7.2,7.20137
1948,6.0,5.8,5.8,7.0,5.8,6.2,6.1424303
1943,6.0,5.8,5.8,6.0,5.9,5.9,5.7945795
1976,6.0,5.8,6.0,5.9,6.2,5.8,5.855489
1945,6.0,5.8,5.8,6.1,5.8,5.9,5.77815
2020,6.4,5.8,5.8,5.8,5.8,5.9,5.8022046
2009,3.7,3.7,3.7,3.7,3.7,3.7,3.7751489
1954,6.0,5.8,5.8,6.0,6.4,6.4,5.8527517
1988,5.3,5.5,5.5,5.5,5.5,5.7,5.071098
1959,6.0,5.8,5.8,5.8,6.4,5.9,5.808314
2019,5.8,5.8,5.8,5.8,5.9,5.9,5.7962365
1961,5.6,5.7,6.0,6.2,6.2,6.2,6.151438
1983,5.7,6.1,6.0,5.4,5.6,5.5,5.729395
2013,5.6,5.0,4.4,5.5,5.3,5.3,4.693362
2008,6.6,5.8,5.8,6.0,5.9,5.9,5.9740486
1940,6.0,5.8,6.2,6.5,5.9,5.9,5.910812
2022,6.1,5.8,5.7,6.0,5.9,5.9,5.7783847
1978,6.0,5.8,5.8,5.6,5.4,5.7,5.7438517
2015,6.2,5.8,4.0,5.1,4.7,5.8,4.6645145
1967,5.6,5.8,5.7,5.8,5.8,5.8,5.782544
1993,5.7,5.8,5.8,6.7,5.8,5.9,5.9156127
2009,6.4,5.8,5.8,6.0,5.9,5.9,5.8309846
1958,5.3,6.7,7.2,6.2,6.9,6.4,7.2792153
1952,5.8,6.2,5.9,7.3,7.4,6.4,7.469729
1996,5.0,5.7,5.5,5.4,4.9,4.5,4.470426
2009,5.9,6.5,5.3,6.1,6.3,6.2,6.330386
2019,5.5,5.8,6.4,6.0,5.9,5.9,5.8577747
1996,6.0,5.8,6.6,5.8,5.8,5.8,5.8896146
1955,6.0,5.8,6.0,6.0,6.0,6.5,5.9346027
2008,5.6,5.8,5.8,6.0,5.9,5.9,5.7951765
1945,6.0,5.8,6.0,5.9,5.8,5.8,5.771772
1975,6.0,5.8,5.6,6.1,5.8,5.8,5.7307067
1938,6.0,5.8,5.3,6.1,5.9,5.9,5.6857433
1982,6.0,5.8,5.8,5.8,5.8,5.3,5.813148
2000,5.6,5.8,5.0,5.4,5.6,5.0,5.3157334
1932,6.0,5.8,5.8,5.9,5.8,5.8,5.7946625
1987,5.5,5.9,5.4,5.7,5.6,4.9,5.232863
1982,5.6,5.8,6.3,6.3,5.2,6.1,6.044591
2007,5.5,6.1,6.6,6.0,5.8,5.1,5.872061
2006,5.3,5.9,4.3,4.6,4.5,5.3,4.0967636
1952,6.8,6.8,6.7,6.2,6.2,5.9,7.222681
2000,5.3,5.8,5.8,6.0,5.9,5.9,5.7960043
2007,6.0,4.6,5.5,6.0,5.4,6.3,5.3787093
1938,6.0,5.8,5.8,6.0,5.9,5.9,5.7912493
1980,6.0,5.8,5.7,5.6,6.1,5.0,5.6687217
2018,6.0,5.7,4.4,4.8,4.8,6.5,4.721625
1961,5.7,6.0,6.5,6.4,6.4,6.0,6.671651
1973,5.9,5.7,6.0,6.3,6.1,6.4,6.3830385
1954,5.7,5.8,5.9,5.8,5.8,5.9,5.777105
1972,6.0,5.7,5.9,6.4,6.1,5.9,6.1515827
1963,6.0,5.8,5.8,5.8,5.8,5.8,5.78126
1948,6.0,5.8,6.0,5.8,6.1,5.8,5.814819
2020,5.7,6.1,5.5,6.3,6.3,6.3,6.1969056
2021,6.7,4.2,6.5,4.2,4.2,4.2,3.6903577
1974,6.0,5.1,6.9,6.0,6.1,6.3,6.7676406
1962,6.0,5.8,5.8,5.8,6.3,5.8,5.81302
2020,5.4,5.8,7.5,7.5,7.5,7.5,7.5296345
1998,5.6,5.4,4.9,5.0,5.2,5.4,4.5850334
1992,5.5,5.3,5.6,6.0,6.0,5.2,5.1457744
2019,5.3,5.8,6.4,5.8,6.3,5.8,5.954202
1971,6.1,5.7,5.6,6.3,6.1,6.0,6.0026855
1933,6.0,5.8,5.8,5.8,5.8,5.9,5.790787
1991,6.0,5.8,5.8,5.5,5.8,5.8,5.770322
1954,6.1,5.8,6.4,5.8,6.3,5.8,5.9475565
1957,5.9,5.7,6.0,6.7,6.0,6.4,6.4491363
1970,6.0,5.9,5.9,5.7,5.7,6.0,5.9572277
1986,6.0,5.8,5.6,6.7,5.3,5.3,5.618463
2005,5.6,6.2,3.9,5.4,4.9,5.4,4.8132863
1944,6.0,5.8,5.9,5.9,6.0,5.8,5.793746
1999,5.8,5.8,5.9,5.5,5.8,5.9,5.807198
2020,6.0,8.1,6.2,6.4,5.2,8.1,8.123069
1970,6.1,5.6,6.1,6.0,7.1,6.2,6.523025
2015,6.0,5.8,5.8,5.8,5.8,5.8,5.7960687
2019,6.0,5.4,6.9,6.9,6.6,6.9,6.9203157
1961,5.6,5.8,5.9,5.8,6.1,5.9,5.795946
2021,6.3,5.8,5.9,6.0,6.0,6.0,5.8281455
1981,5.6,5.7,5.6,5.7,5.4,5.4,5.1772594
1990,6.0,5.8,5.8,5.8,5.8,5.8,5.7784405
2007,5.3,5.8,5.4,5.4,6.3,5.4,5.5186677
1982,5.5,6.0,6.3,6.3,6.4,6.0,6.4883614
1998,5.7,5.6,5.6,6.1,6.2,5.5,5.6911182
2018,5.3,5.8,4.9,5.6,5.8,6.2,5.6985903
1961,5.6,5.8,5.8,5.8,5.9,6.0,5.7778506
1969,5.6,5.8,5.8,6.0,5.8,5.5,5.745044
1949,6.0,6.0,6.2,6.8,6.1,6.6,7.0546393
1961,5.6,5.8,5.8,5.8,5.8,6.5,5.8384953
1985,6.0,5.8,5.8,4.3,5.8,5.8,5.8011427
2021,4.8,6.0,5.5,5.3,6.0,5.3,5.5010138
2006,5.6,8.1,7.1,5.3,5.7,5.8,8.09911
2021,5.7,5.8,5.8,7.0,5.8,5.9,5.9563837
2005,5.5,5.3,4.8,5.8,5.7,5.7,5.1739826
1981,6.0,6.0,5.5,6.4,5.9,6.4,6.157444
1978,5.9,5.8,5.8,6.0,5.8,5.9,5.789048
1979,5.5,5.7,5.8,5.8,5.9,6.0,5.775871
1991,5.7,5.9,5.4,5.7,5.4,5.8,5.5212374
2020,6.0,5.8,5.8,5.8,5.8,5.8,5.79484
1981,6.0,5.8,5.8,6.3,5.8,5.6,5.816043
1969,5.8,5.8,5.9,6.1,5.8,5.9,5.7808995
2008,5.8,5.2,5.2,5.5,5.7,5.2,5.0488205
2015,5.7,5.8,6.9,5.8,5.8,5.8,5.954632
1974,6.0,5.7,5.8,5.7,6.4,6.0,5.965614
1949,6.0,5.8,5.8,5.8,5.8,5.8,5.78605
1996,5.8,5.1,6.0,5.6,5.8,6.6,5.7259707
1989,5.6,5.8,5.6,5.9,6.3,4.9,5.310547
1957,6.0,5.8,5.7,5.8,5.9,5.9,5.7758684
2019,6.0,5.8,6.0,6.0,5.9,5.9,5.7976756
2005,5.7,5.5,5.2,5.3,4.9,5.1,4.7454276
1985,5.6,5.7,5.2,5.3,4.6,5.3,4.591174
1973,5.6,5.8,5.8,5.7,5.7,5.8,5.771934
1939,6.0,5.8,6.0,5.8,5.8,6.1,5.805458
2016,5.8,5.8,5.8,6.0,5.9,5.9,5.7943273
1957,6.0,5.8,5.8,6.0,5.8,5.7,5.7695556
2014,6.0,5.8,6.4,6.5,7.2,5.9,6.4745255
2020,6.1,5.8,6.0,5.9,5.9,5.8,5.7842617
2011,5.7,6.0,6.6,5.7,6.4,5.1,6.2934065
1973,6.0,5.8,5.8,5.8,6.1,5.7,5.843421
2016,6.4,5.8,5.8,6.0,5.9,5.9,5.803898
1991,6.0,5.8,5.1,5.8,6.4,5.8,5.7465253
1978,5.6,5.8,5.8,6.2,5.8,6.0,5.85315
1981,6.1,5.7,5.1,5.3,6.1,6.2,5.56822
2021,5.3,5.8,5.9,5.8,6.9,5.8,5.938314
2017,5.7,5.8,4.6,5.8,5.8,5.9,5.7297525
1959,6.0,5.8,5.9,6.0,6.0,5.9,5.8013124
1961,5.7,5.8,5.8,5.8,5.8,6.5,5.8406687
1947,6.0,5.8,6.2,5.8,5.9,5.9,5.787666
1982,5.9,5.8,5.8,5.7,6.0,5.8,5.807811
1980,5.6,5.6,5.5,5.7,5.6,6.3,5.6542063
1944,6.0,5.8,5.8,5.8,5.8,5.9,5.780172
2005,6.2,6.7,6.4,5.4,6.4,5.5,6.6214423
1974,5.5,6.2,5.5,5.7,6.2,5.9,6.1318936
2013,6.4,5.8,5.8,6.0,5.9,5.9,5.803898
1936,6.0,5.8,5.9,5.8,5.8,5.9,5.790787
2018,5.5,7.2,7.1,6.6,6.9,6.1,7.1306086
2002,5.5,5.8,7.6,8.6,6.5,7.2,8.0425005
2019,5.8,5.9,5.2,6.2,5.2,6.8,6.045343
1987,5.7,5.8,5.8,5.8,6.3,6.0,5.841976
